,token_length,patient_demographics,mds_updrs,moca,acc,micro_f1,macro_f1
0,True,True,True,True,0.8676056338028169,0.8645528091756831,0.8639154226906044
1,True,True,True,False,0.8450704225352113,0.8433043385040424,0.8426234483748395
2,True,True,False,True,0.8985915492957747,0.9005519817621281,0.900592573189777
3,True,True,False,False,0.8140845070422535,0.8103443229458761,0.8097659187824882
4,True,True,True,True,0.8084507042253521,0.8023250768830859,0.8025039440368846
5,True,True,True,False,0.676056338028169,0.6760558343189572,0.6749842514906085
6,True,True,False,True,0.8112676056338028,0.8035185572194609,0.8035050435006857
7,True,True,False,False,0.6535211267605634,0.6455326375274825,0.6455282953906616
8,False,False,True,True,0.8676056338028169,0.8653290079394683,0.8652251002007751
9,False,False,True,False,0.847887323943662,0.8457137808819284,0.8454443189010167
10,False,False,False,True,0.8873239436619719,0.8863631313439029,0.8864299417520352
11,False,False,False,False,0.8084507042253521,0.8011690862319729,0.8000769912238301
12,False,False,True,True,0.819718309859155,0.8117642015401,0.8121959329531279
13,False,False,True,False,0.704225352112676,0.6956516699856564,0.6963101405133276
14,False,False,False,True,0.8253521126760563,0.8228566381554059,0.8229200636159323
15,False,False,False,False,0.6676056338028169,0.6609190364483899,0.6595449396594659
16,True,True,True,True,0.847887323943662,0.8402361820492448,0.8396259194932734
17,True,True,True,False,0.8309859154929577,0.8295449498485711,0.8295366998127138
18,True,True,False,True,0.8788732394366198,0.8788727345846924,0.8787638491401699
19,True,True,False,False,0.819718309859155,0.8117642015401,0.811268768562592
20,True,True,True,True,0.7830985915492957,0.7806262761831435,0.7808946435001299
21,True,True,True,False,0.704225352112676,0.697405836075735,0.6973662895586512
22,True,True,False,True,0.8140845070422535,0.8058818486335279,0.8063013013454535
23,True,True,False,False,0.6647887323943662,0.6550719600759959,0.6553110906023951
24,False,False,True,True,0.8591549295774648,0.8563213341758767,0.8558692398475746
25,False,False,True,False,0.856338028169014,0.8538676899535773,0.8534792056719824
26,False,False,False,True,0.8788732394366198,0.876080186630853,0.8753221373986634
27,False,False,False,False,0.8507042253521127,0.8472617429929286,0.8472872603229344
28,False,False,True,True,0.8140845070422535,0.8103443229458761,0.8104205599869534
29,False,False,True,False,0.6929577464788732,0.6840574671543246,0.6840866804590658
30,False,False,False,True,0.8169014084507042,0.8071211576753787,0.8056029303258431
31,False,False,False,False,0.6929577464788732,0.6746263626468382,0.6764191460034639
32,True,True,True,True,0.8732394366197183,0.8695647124556539,0.8697808229457976
33,True,True,True,False,0.8225352112676056,0.8194837359959045,0.8193631951286239
34,True,True,False,True,0.8760563380281691,0.8728318649640339,0.8725052690184846
35,True,True,False,False,0.8028169014084507,0.7953211330497992,0.7953106449916805
36,True,True,True,True,0.8253521126760563,0.8154756864905267,0.8146992702277893
37,True,True,True,False,0.676056338028169,0.6647225284026572,0.6643446977990884
38,True,True,False,True,0.7971830985915493,0.7869817444945574,0.7865387763013355
39,True,True,False,False,0.647887323943662,0.6458918476518408,0.6461902121705179
40,False,False,True,True,0.8845070422535212,0.8845065373698522,0.8843029589040932
41,False,False,True,False,0.8253521126760563,0.821838575753376,0.8203392639400098
42,False,False,False,True,0.8985915492957747,0.8988758995868201,0.8981810181898743
43,False,False,False,False,0.8253521126760563,0.821838575753376,0.8215284801983873
44,False,False,True,True,0.8169014084507042,0.8158635180768499,0.8161385567406286
45,False,False,True,False,0.7126760563380282,0.7052018081295938,0.705360356715083
46,False,False,False,True,0.8225352112676056,0.8194837359959045,0.8191289681213443
47,False,False,False,False,0.6647887323943662,0.644775616556412,0.6443845087172267
