,sample_size,acc,micro_f1,macro_f1
0,25,0.6943661971830986,0.6649506091167499,0.6359634226952112
1,50,0.792018779342723,0.7750121982267139,0.7662097778958377
2,75,0.8032863849765258,0.7861148667701165,0.7826225907373221
3,100,0.8384976525821596,0.830374253263297,0.8289924873846899
4,125,0.8469483568075117,0.8412847964134038,0.8400565125944888
5,150,0.8511737089201878,0.843610747966394,0.8426980579106906
6,175,0.8572769953051643,0.8521395772213713,0.8509384779801079
7,200,0.856338028169014,0.8505854369919852,0.8498941716586088
8,225,0.860093896713615,0.8550578651562748,0.8546659896211238
9,250,0.8723004694835681,0.8692302684414857,0.8687714924159358
10,275,0.8723004694835681,0.8694812650302571,0.8693603835544877
11,299,0.8746478873239436,0.872187148772228,0.8720288627301617
